name,Brand_name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Hyundai Elantra CRDi S,Hyundai,2012,625000,40000,Diesel,Individual,Manual,First Owner
Mahindra Scorpio 1.99 S10,Mahindra,2014,1050000,50000,Diesel,Individual,Manual,First Owner
Honda City i DTEC V,Honda,2014,560000,74000,Diesel,Individual,Manual,Second Owner
Maruti Wagon R VXI BS IV with ABS,Maruti,2014,290000,64000,Petrol,Individual,Manual,Second Owner
Maruti Wagon R VXI BS IV,Maruti,2012,275000,60000,Petrol,Individual,Manual,Second Owner
Mahindra Scorpio LX,Mahindra,2009,411000,120000,Diesel,Individual,Manual,Second Owner
Hyundai Santro Xing GLS,Hyundai,2009,150000,79000,Petrol,Individual,Manual,Third Owner
Hyundai Grand i10 1.2 Kappa Asta,Hyundai,2019,500000,15000,Petrol,Individual,Manual,First Owner
Maruti Alto LXi,Maruti,2006,100000,80000,Petrol,Individual,Manual,First Owner
Maruti Swift Dzire VDI Optional,Maruti,2017,725000,18500,Diesel,Dealer,Manual,First Owner
Maruti Eeco 5 Seater AC BSIV,Maruti,2018,401000,10200,Petrol,Dealer,Manual,First Owner
Hyundai i20 Sportz 1.4 CRDi,Hyundai,2018,750000,29000,Diesel,Dealer,Manual,First Owner
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,Maruti,2018,310000,28000,Petrol,Dealer,Manual,First Owner
Maruti Swift ZDi BSIV,Maruti,2016,665000,46000,Diesel,Dealer,Manual,First Owner
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,Hyundai,2014,465000,70000,Diesel,Dealer,Manual,First Owner
Maruti Alto LXi,Maruti,2012,160000,60000,Petrol,Individual,Manual,Second Owner
Mahindra Jeep CL 500 MDI,Mahindra,1996,250000,35000,Diesel,Individual,Manual,Second Owner
Honda City i DTEC VX,Honda,2014,675000,90000,Diesel,Dealer,Manual,First Owner
Maruti Wagon R VXI BS IV,Maruti,2013,300000,80000,Petrol,Dealer,Manual,First Owner
Tata Indica DLS,Tata,2005,70000,80000,Diesel,Individual,Manual,First Owner
Hyundai EON Magna Plus,Hyundai,2014,240000,73300,Petrol,Dealer,Manual,Second Owner
Toyota Etios GD,Toyota,2014,525000,92000,Diesel,Dealer,Manual,First Owner
Maruti Alto LXi,Maruti,2009,151000,66764,Petrol,Dealer,Manual,Second Owner
Maruti Alto LXi,Maruti,2009,140000,100000,Petrol,Individual,Manual,First Owner
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,Chevrolet,2010,280000,350000,Diesel,Individual,Manual,Second Owner
Toyota Corolla Altis Diesel D4DG,Toyota,2011,350000,230000,Diesel,Individual,Manual,First Owner
Mahindra Scorpio 1.99 S6 Plus,Mahindra,2017,570000,60000,Diesel,Individual,Manual,First Owner
Hyundai EON Magna Plus,Hyundai,2018,300000,31000,Petrol,Individual,Manual,First Owner
Tata Indigo Classic Dicor,Tata,2007,100000,39000,Diesel,Individual,Manual,First Owner
Toyota Innova 2.5 V Diesel 8-seater,Toyota,2009,500000,120000,Diesel,Individual,Manual,Third Owner
Tata Indica Vista Quadrajet LS,Tata,2014,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner
Maruti Swift 1.3 VXi,Maruti,2006,130000,110000,Petrol,Individual,Manual,Third Owner
Ford EcoSport 1.5 Diesel Titanium BSIV,Ford,2017,925000,35000,Diesel,Individual,Manual,First Owner
Maruti Ciaz 1.3 Delta,Maruti,2018,750000,60000,Diesel,Individual,Manual,First Owner
Honda Civic 1.8 V AT,Honda,2007,200000,54000,Petrol,Individual,Automatic,Second Owner
Hyundai i10 Sportz 1.2,Hyundai,2010,248000,63000,Petrol,Individual,Manual,Second Owner
Skoda Rapid 1.5 TDI Elegance,Skoda,2014,450000,120000,Diesel,Individual,Manual,Second Owner
Hyundai Getz GLS,Hyundai,2005,80000,120000,Petrol,Individual,Manual,Third Owner
Nissan Terrano XL,Nissan,2014,650000,76000,Petrol,Individual,Manual,Second Owner
Hyundai Grand i10 CRDi Sportz,Hyundai,2015,450000,80000,Diesel,Individual,Manual,First Owner
Hyundai Elite i20 Diesel Era,Hyundai,2019,650000,25000,Diesel,Individual,Manual,First Owner
Honda Amaze S i-VTEC,Honda,2016,495000,11958,Petrol,Dealer,Manual,First Owner
Honda Brio S MT,Honda,2015,371000,20000,Petrol,Dealer,Manual,First Owner
Hyundai Creta 1.6 SX Option,Hyundai,2017,1025000,9000,Petrol,Dealer,Manual,First Owner
Mercedes-Benz S-Class S 350d Connoisseurs Edition,Mercedes-Benz,2017,8150000,6500,Diesel,Dealer,Automatic,First Owner
Mahindra XUV500 W8 2WD,Mahindra,2015,750000,70000,Diesel,Individual,Manual,First Owner
Renault Duster 85PS Diesel RxL Optional,Renault,2013,600000,120000,Diesel,Individual,Manual,First Owner
Hyundai Santro Xing XO,Hyundai,2007,80000,58000,Petrol,Dealer,Manual,Second Owner
Mahindra Bolero 2011-2019 SLE,Mahindra,2013,325000,62200,Diesel,Dealer,Manual,First Owner
Audi A6 2.0 TDI Premium Plus,Audi,2014,1470000,34000,Diesel,Dealer,Automatic,Second Owner
Fiat Avventura MULTIJET Emotion,Fiat,2015,350000,53000,Diesel,Individual,Manual,Second Owner
Audi A8 4.2 TDI,Audi,2013,2800000,49000,Diesel,Dealer,Automatic,First Owner
Datsun RediGO 1.0 S,Datsun,2017,210000,15000,Petrol,Dealer,Manual,Second Owner
Volkswagen Jetta 1.4 TSI Comfortline,Volkswagen,2013,450000,50000,Petrol,Individual,Manual,First Owner
Audi A4 2.0 TDI 177 Bhp Premium Plus,Audi,2013,1150000,53000,Diesel,Dealer,Automatic,First Owner
Honda Civic 1.8 V AT,Honda,2009,210000,63500,Petrol,Dealer,Automatic,First Owner
Mercedes-Benz E-Class Exclusive E 200 BSIV,Mercedes-Benz,2018,4500000,9800,Petrol,Dealer,Automatic,First Owner
BMW X1 sDrive 20d xLine,BMW,2017,2750000,13000,Diesel,Individual,Automatic,First Owner
Volvo V40 D3 R Design,Volvo,2018,1975000,21000,Diesel,Dealer,Automatic,First Owner
Maruti SX4 Zxi BSIII,Maruti,2008,175000,29173,Petrol,Dealer,Manual,First Owner
BMW 7 Series 730Ld,BMW,2012,2500000,48000,Diesel,Dealer,Automatic,First Owner
Mahindra Bolero Power Plus SLX,Mahindra,2017,628000,120000,Diesel,Individual,Manual,First Owner
Hyundai Sonata CRDi M/T,Hyundai,2010,600000,100000,Diesel,Individual,Manual,First Owner
Nissan Micra Active XV Petrol,Nissan,2017,399000,30000,Petrol,Individual,Manual,First Owner
Mahindra Xylo D4,Mahindra,2018,750000,87000,Diesel,Individual,Manual,First Owner
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,Hyundai,2019,750000,15000,Petrol,Individual,Manual,First Owner
Renault KWID RXT,Renault,2017,315000,16000,Petrol,Individual,Manual,First Owner
Mahindra Xylo E4 BS III,Mahindra,2012,600000,60000,Diesel,Individual,Manual,First Owner
Maruti Wagon R LXI Minor,Maruti,2010,100000,60000,Petrol,Individual,Manual,Fourth & Above Owner
Maruti SX4 ZXI MT BSIV,Maruti,2011,250000,110000,Petrol,Individual,Manual,Third Owner
Renault KWID RXT,Renault,2017,350000,25000,Petrol,Individual,Manual,First Owner
Hyundai Creta 1.4 CRDi S,Hyundai,2016,780000,60000,Diesel,Individual,Manual,First Owner
Maruti Swift Dzire VDI,Maruti,2014,434000,79350,Diesel,Individual,Manual,Second Owner
Hyundai Verna 1.6 VTVT AT S Option,Hyundai,2016,690000,80000,Petrol,Individual,Automatic,First Owner
Mahindra Scorpio LX BSIV,Mahindra,2014,555000,90000,Diesel,Individual,Manual,Second Owner
Maruti SX4 Vxi BSIII,Maruti,2007,120000,90000,Petrol,Individual,Manual,Second Owner
Maruti Ertiga VDI,Maruti,2014,500000,120000,Diesel,Individual,Manual,Second Owner
Chevrolet Beat Diesel,Chevrolet,2013,165000,60000,Diesel,Individual,Manual,Second Owner
Maruti Zen LX,Maruti,2004,95000,50000,Petrol,Individual,Manual,First Owner
Maruti Baleno Delta 1.2,Maruti,2018,550000,20000,Petrol,Individual,Manual,First Owner
Maruti Swift Vdi BSIII,Maruti,2007,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner
Tata Nano Lx BSIV,Tata,2012,100000,50000,Petrol,Individual,Manual,Second Owner
Toyota Innova 2.5 GX (Diesel) 8 Seater,Toyota,2012,500000,100000,Diesel,Individual,Manual,First Owner
Maruti Ertiga SHVS VDI,Maruti,2016,800000,70000,Diesel,Individual,Manual,Second Owner
Hyundai Creta 1.6 CRDi SX,Hyundai,2016,840000,70000,Diesel,Individual,Manual,Second Owner
Honda Amaze S i-Vtech,Honda,2016,490000,50000,Petrol,Individual,Manual,First Owner
Tata Indica Vista Aqua 1.4 TDI,Tata,2010,125000,81000,Diesel,Individual,Manual,Second Owner
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,Chevrolet,2012,400000,120000,Diesel,Individual,Manual,Third Owner
Chevrolet Cruze LTZ,Chevrolet,2015,1000000,3600,Diesel,Dealer,Manual,First Owner
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,Ford,2015,530000,14272,Petrol,Dealer,Manual,First Owner
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,Ford,2017,840000,49213,Diesel,Dealer,Manual,First Owner
Hyundai i10 Sportz 1.1L,Hyundai,2015,229999,40000,Petrol,Individual,Manual,First Owner
Maruti 800 Std,Maruti,1998,40000,40000,Petrol,Individual,Manual,Fourth & Above Owner
Chevrolet Spark 1.0 LS,Chevrolet,2012,130000,80000,Petrol,Individual,Manual,First Owner
Hyundai EON Era Plus,Hyundai,2015,200000,70000,Petrol,Individual,Manual,First Owner
Tata Indica Vista Aqua TDI BSIII,Tata,2011,120000,70000,Diesel,Individual,Manual,First Owner
Hyundai Santro LP zipPlus,Hyundai,2003,75000,57000,Petrol,Individual,Manual,First Owner
Tata Bolt Quadrajet XE,Tata,2016,250000,120000,Diesel,Individual,Manual,First Owner
Maruti 800 AC BSIII,Maruti,2005,100000,30000,Petrol,Individual,Manual,First Owner
Hyundai EON Era Plus,Hyundai,2013,280000,3240,Petrol,Individual,Manual,Second Owner
Hyundai i20 Magna 1.2,Hyundai,2015,540000,5000,Petrol,Individual,Manual,First Owner
Hyundai i20 1.2 Asta,Hyundai,2018,700000,10000,Petrol,Individual,Manual,First Owner
Maruti Ciaz VDi Plus,Maruti,2015,525000,100000,Diesel,Individual,Manual,First Owner
Hyundai i20 Asta 1.4 CRDi,Hyundai,2016,430000,80000,Diesel,Individual,Manual,First Owner
Hyundai Santro LE,Hyundai,2002,65000,70000,Petrol,Individual,Manual,First Owner
Maruti Vitara Brezza VDi,Maruti,2018,800000,35000,Diesel,Individual,Manual,First Owner
Hyundai Santro Xing XL eRLX Euro III,Hyundai,2007,75000,114000,Petrol,Individual,Manual,Second Owner
Hyundai Getz 1.3 GLS,Hyundai,2008,210000,53772,Petrol,Individual,Manual,First Owner
Mahindra Quanto C8,Mahindra,2012,195000,140000,Diesel,Individual,Manual,Second Owner
Chevrolet Tavera Neo 3 LS 7 C BSIII,Chevrolet,2015,400000,120000,Diesel,Individual,Manual,First Owner
Hyundai EON Magna Plus,Hyundai,2012,170000,60000,Petrol,Individual,Manual,First Owner
Renault KWID RXT,Renault,2016,225000,25000,Petrol,Individual,Manual,First Owner
Maruti Wagon R DUO LPG,Maruti,2014,210000,90000,LPG,Individual,Manual,First Owner
Maruti Wagon R LXI,Maruti,2020,240000,120000,Petrol,Individual,Manual,First Owner
Chevrolet Enjoy 1.3 TCDi LS 8,Chevrolet,2015,300000,175000,Diesel,Individual,Manual,First Owner
Chevrolet Spark 1.0 LS,Chevrolet,2011,99000,100000,Petrol,Individual,Manual,Third Owner
Honda City i VTEC SV,Honda,2014,620000,36000,Petrol,Individual,Manual,First Owner
Honda Amaze VX i-DTEC,Honda,2013,500000,30000,Diesel,Individual,Manual,First Owner
Jaguar XJ 5.0 L V8 Supercharged,Jaguar,2010,2550000,40000,Petrol,Individual,Automatic,Second Owner
Honda Brio E MT,Honda,2013,260000,70000,Petrol,Individual,Manual,Second Owner
Maruti Swift VVT ZXI,Maruti,2017,550000,60000,Petrol,Individual,Manual,First Owner
Tata Indigo CR4,Tata,2011,150000,155500,Diesel,Individual,Manual,First Owner
Hyundai i10 Asta AT,Hyundai,2011,350000,50000,Petrol,Individual,Automatic,Second Owner
Chevrolet Beat LT,Chevrolet,2016,320000,40000,Petrol,Individual,Manual,First Owner
Maruti Swift VDI BSIV,Maruti,2015,400000,100000,Diesel,Individual,Manual,Third Owner
Maruti Alto LXi,Maruti,2012,175000,80000,Petrol,Individual,Manual,Third Owner
Chevrolet Beat LT,Chevrolet,2011,120000,90000,Petrol,Individual,Manual,Second Owner
Renault Duster 110PS Diesel RxZ,Renault,2013,320000,90000,Diesel,Individual,Manual,Second Owner
Hyundai Santro Xing XG,Hyundai,2006,70000,110000,Petrol,Individual,Manual,Third Owner
Maruti Swift Dzire ZXI Plus,Maruti,2019,810000,15000,Petrol,Individual,Manual,First Owner
Maruti 800 AC,Maruti,2007,95000,100000,Petrol,Individual,Manual,Second Owner
Maruti Alto K10 LXI CNG,Maruti,2020,282000,40000,CNG,Individual,Manual,First Owner
Maruti 800 Std BSII,Maruti,2004,80000,60000,Petrol,Individual,Manual,Second Owner
Tata Nano LX SE,Tata,2013,72000,25000,Petrol,Individual,Manual,First Owner
Hyundai i20 Magna 1.2,Hyundai,2016,600000,25000,Petrol,Individual,Manual,First Owner
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,Skoda,2015,640000,23000,Petrol,Individual,Manual,First Owner
Maruti Alto K10 VXI,Maruti,2018,380000,22155,Petrol,Individual,Manual,First Owner
Maruti Ciaz 1.4 Delta,Maruti,2018,650000,70000,Petrol,Individual,Manual,First Owner
Maruti Alto LX,Maruti,2009,150000,60000,Petrol,Individual,Manual,Second Owner
Hyundai i20 Asta,Hyundai,2009,280000,110000,Petrol,Individual,Manual,Second Owner
Tata Nexon 1.2 Revotron XM,Tata,2018,430000,30000,Petrol,Individual,Manual,First Owner
Mahindra Bolero Power Plus SLX,Mahindra,2019,800000,15000,Diesel,Individual,Manual,First Owner
Maruti Zen D,Maruti,2003,75000,100000,Diesel,Individual,Manual,Second Owner
Volkswagen Vento Celeste 1.5 TDI Highline AT,Volkswagen,2016,650000,70000,Diesel,Individual,Automatic,First Owner
Maruti Eeco 7 Seater Standard BSIV,Maruti,2017,390000,24000,Petrol,Individual,Manual,First Owner
Honda City 1.5 EXI,Honda,2005,100000,120000,Petrol,Individual,Manual,Second Owner
Mercedes-Benz New C-Class 220 CDI AT,Mercedes-Benz,2013,1500000,35000,Diesel,Individual,Automatic,First Owner
Maruti SX4 Zxi with Leather BSIII,Maruti,2007,175000,78380,Petrol,Individual,Manual,First Owner
Renault Duster 110PS Diesel RxZ,Renault,2012,434999,110000,Diesel,Individual,Manual,Second Owner
Ford Figo Diesel Titanium,Ford,2010,170000,90000,Diesel,Individual,Manual,Third Owner
Ford Figo Diesel Titanium,Ford,2011,190000,90000,Diesel,Individual,Manual,Third Owner
Maruti Swift Dzire VDi,Maruti,2009,250000,150000,Diesel,Individual,Manual,Third Owner
Mahindra Xylo E4,Mahindra,2009,229999,230000,Diesel,Individual,Manual,Third Owner
Maruti Esteem Vxi - BSIII,Maruti,2006,140000,70000,Petrol,Individual,Manual,Third Owner
Maruti Swift VDI BSIV,Maruti,2017,600000,80362,Diesel,Individual,Manual,First Owner
Hyundai i20 1.2 Sportz,Hyundai,2012,280000,110000,Petrol,Individual,Manual,Third Owner
Chevrolet Beat Diesel LT,Chevrolet,2012,150000,60000,Diesel,Individual,Manual,First Owner
Chevrolet Cruze LTZ AT,Chevrolet,2015,650000,50000,Diesel,Individual,Automatic,First Owner
Nissan Micra XL,Nissan,2014,210000,40000,Petrol,Individual,Manual,Second Owner
BMW 5 Series 520d Luxury Line,BMW,2017,2900000,40000,Diesel,Individual,Automatic,First Owner
Chevrolet Enjoy 1.3 TCDi LS 8,Chevrolet,2013,425000,20000,Diesel,Dealer,Manual,First Owner
Hyundai EON Era Plus Option,Hyundai,2014,265000,55000,Petrol,Dealer,Manual,First Owner
Fiat Linea T Jet Emotion,Fiat,2018,890000,1136,Petrol,Dealer,Manual,First Owner
Renault Scala RxL,Renault,2013,365000,55000,Petrol,Dealer,Manual,First Owner
Ford Figo Petrol Titanium,Ford,2014,350000,43000,Petrol,Dealer,Manual,First Owner
Maruti Ciaz ZDi SHVS,Maruti,2016,685000,60000,Diesel,Individual,Manual,First Owner
Skoda Rapid 1.5 TDI Ambition BSIV,Skoda,2018,940000,2650,Diesel,Dealer,Manual,First Owner
Mahindra XUV500 W6 2WD,Mahindra,2017,1000000,40000,Diesel,Individual,Manual,First Owner
Mahindra XUV300 W8 Option,Mahindra,2019,1150000,15000,Petrol,Dealer,Manual,First Owner
Maruti Ertiga SHVS ZDI,Maruti,2016,450000,115962,Diesel,Individual,Manual,Second Owner
Nissan Terrano XE D,Nissan,2015,590000,65000,Diesel,Dealer,Manual,First Owner
Maruti S-Cross Facelift,Maruti,2017,800000,40000,Diesel,Individual,Manual,First Owner
Hyundai i20 Magna 1.4 CRDi (Diesel),Hyundai,2012,385000,58000,Diesel,Dealer,Manual,First Owner
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Mercedes-Benz,2013,2000000,15000,Diesel,Individual,Automatic,First Owner
Hyundai EON Era Plus,Hyundai,2012,235000,54000,Petrol,Dealer,Manual,First Owner
Volkswagen Ameo 1.5 TDI Highline,Volkswagen,2017,640000,56000,Diesel,Dealer,Manual,First Owner
Maruti Alto LX,Maruti,2006,52000,120000,Petrol,Individual,Manual,Third Owner
Maruti Omni LPG CARGO BSIII W IMMOBILISER,Maruti,2009,80000,90000,LPG,Individual,Manual,Second Owner
Maruti Alto LX,Maruti,2012,140000,70000,Petrol,Individual,Manual,Second Owner
Hyundai Verna i (Petrol),Hyundai,2008,120000,90000,Petrol,Individual,Manual,Second Owner
Mahindra Renault Logan 1.5 DLS,Mahindra,2008,89999,213000,Diesel,Individual,Manual,First Owner
Chevrolet Optra Magnum 2.0 LS BSIII,Chevrolet,2012,180000,120000,Diesel,Individual,Manual,First Owner
Mahindra Scorpio S11 BSIV,Mahindra,2017,1500000,20000,Diesel,Individual,Manual,First Owner
Hyundai i20 Active 1.2 SX,Hyundai,2017,700000,10000,Petrol,Individual,Manual,First Owner
Maruti SX4 Celebration Diesel,Maruti,2012,285000,80000,Diesel,Individual,Manual,Second Owner
Hyundai Grand i10 Magna,Hyundai,2015,390000,90000,Petrol,Individual,Manual,First Owner
Maruti Alto LXi BSIII,Maruti,2008,125000,80000,Petrol,Individual,Manual,First Owner
Maruti SX4 Zxi with Leather BSIII,Maruti,2008,225000,60000,Petrol,Individual,Manual,Second Owner
Hyundai i10 Era,Hyundai,2011,175000,139000,Petrol,Individual,Manual,Second Owner
Toyota Innova 2.5 V Diesel 7-seater,Toyota,2011,1075000,160000,Diesel,Individual,Manual,Second Owner
Honda Mobilio V i DTEC,Honda,2014,300000,150000,Diesel,Individual,Manual,First Owner
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,2010,700000,163000,Diesel,Individual,Manual,Fourth & Above Owner
Tata Indica V2 2001-2011 DLS BSIII,Tata,2009,90000,120000,Diesel,Dealer,Manual,First Owner
Tata Indica Vista TDI LS,Tata,2011,120000,120000,Diesel,Individual,Manual,Second Owner
Chevrolet Beat Diesel LS,Chevrolet,2012,220000,100000,Diesel,Individual,Manual,Second Owner
Tata Zest Quadrajet 1.3 75PS XE,Tata,2015,300000,140000,Diesel,Dealer,Manual,First Owner
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2010,180000,87000,Diesel,Dealer,Manual,Second Owner
Maruti 800 Std,Maruti,2013,170000,70000,Petrol,Individual,Manual,First Owner
Ford Figo Petrol Titanium,Ford,2015,300000,50000,Petrol,Individual,Manual,Second Owner
Toyota Innova 2.5 VX (Diesel) 8 Seater,Toyota,2014,1050000,70000,Diesel,Individual,Manual,First Owner
Honda Mobilio V i DTEC,Honda,2014,300000,150000,Diesel,Individual,Manual,First Owner
Hyundai Grand i10 1.2 CRDi Asta,Hyundai,2018,465000,25000,Diesel,Individual,Manual,First Owner
Chevrolet Beat Diesel LT,Chevrolet,2011,130000,80000,Diesel,Individual,Manual,Second Owner
Datsun GO Plus T Option Petrol,Datsun,2018,434999,10000,Petrol,Individual,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Asta,Hyundai,2018,500000,32000,Petrol,Individual,Manual,First Owner
Maruti Omni MPI STD BSIV,Maruti,2018,200000,10000,Petrol,Individual,Manual,First Owner
Maruti Baleno Alpha 1.2,Maruti,2017,625000,52000,Petrol,Dealer,Manual,First Owner
Ford Fiesta Classic 1.4 SXI Duratorq,Ford,2006,110000,120000,Diesel,Individual,Manual,Third Owner
Hyundai Elite i20 Asta Option BSIV,Hyundai,2019,800000,11240,Petrol,Individual,Manual,First Owner
Hyundai Grand i10 CRDi Magna,Hyundai,2017,490000,66000,Diesel,Dealer,Manual,First Owner
Maruti Ertiga SHVS ZDI,Maruti,2017,880000,64000,Diesel,Dealer,Manual,First Owner
Hyundai Santro Xing GL Plus,Hyundai,2013,290000,49000,Petrol,Individual,Manual,First Owner
Tata Sumo GX TC 7 Str BSIII,Tata,2006,115999,100000,Diesel,Individual,Manual,Second Owner
Renault KWID RXT,Renault,2018,360000,26500,Petrol,Individual,Manual,First Owner
Maruti 800 AC,Maruti,2002,65000,100000,Petrol,Individual,Manual,Second Owner
Maruti Vitara Brezza LDi Option,Maruti,2017,685000,72000,Diesel,Dealer,Manual,First Owner
Honda Jazz S,Honda,2009,300000,50000,Petrol,Individual,Manual,First Owner
Hyundai i20 1.4 Sportz,Hyundai,2017,680000,44000,Diesel,Dealer,Manual,First Owner
Maruti Ertiga SHVS ZDI Plus,Maruti,2017,1000000,60000,Diesel,Individual,Manual,Second Owner
Tata Sumo SE Plus BSIII,Tata,2002,100000,120000,Diesel,Individual,Manual,First Owner
Mahindra Xylo E4,Mahindra,2010,160000,130000,Diesel,Individual,Manual,First Owner
Maruti Swift ZDi BSIV,Maruti,2017,450000,70000,Diesel,Individual,Manual,First Owner
Maruti Ertiga VXI,Maruti,2014,600000,20000,Petrol,Individual,Manual,First Owner
Hyundai i20 1.4 Magna ABS,Hyundai,2009,180000,60000,Diesel,Individual,Manual,Second Owner
Maruti Alto LXi,Maruti,2007,100000,195000,Petrol,Individual,Manual,First Owner
Maruti Alto LXi,Maruti,2010,120000,90000,Petrol,Individual,Manual,Second Owner
Hyundai Getz GL,Hyundai,2006,130000,80000,Petrol,Individual,Manual,Third Owner
Maruti Wagon R LX BS IV,Maruti,2011,160000,155000,Petrol,Individual,Manual,First Owner
Mahindra Bolero Power Plus SLX,Mahindra,2019,860000,35000,Diesel,Individual,Manual,First Owner
Hyundai i20 1.2 Spotz,Hyundai,2018,650000,20000,Petrol,Individual,Manual,Second Owner
